vict_descent,area,crm_cd,premis_cd,weapon_used_cd,age_group,time_group
1,1,210,101.0,400.0,3.0,4.0
2,1,220,102.0,102.0,5.0,4.0
2,1,761,502.0,200.0,2.0,4.0
1,12,121,501.0,400.0,1.0,1.0
1,1,930,0.0,511.0,1.0,3.0
2,1,624,102.0,400.0,2.0,4.0
2,1,210,102.0,400.0,5.0,3.0
1,19,860,502.0,400.0,5.0,3.0
1,1,761,502.0,207.0,5.0,2.0
1,1,860,0.0,400.0,3.0,3.0
1,1,220,0.0,0.0,1.0,3.0
1,2,761,502.0,200.0,4.0,3.0
1,1,860,0.0,400.0,1.0,3.0
1,1,0,102.0,400.0,5.0,1.0
1,1,625,0.0,500.0,3.0,4.0
2,12,0,501.0,400.0,1.0,1.0
1,1,624,102.0,400.0,3.0,3.0
1,1,624,0.0,400.0,4.0,3.0
1,1,230,102.0,400.0,5.0,4.0
2,18,626,122.0,400.0,5.0,4.0
1,18,626,501.0,500.0,3.0,2.0
1,1,626,102.0,400.0,2.0,4.0
1,1,0,0.0,0.0,5.0,4.0
1,1,0,102.0,500.0,2.0,4.0
1,1,626,503.0,400.0,4.0,2.0
1,1,624,101.0,400.0,3.0,2.0
1,1,624,102.0,400.0,2.0,3.0
1,1,624,102.0,400.0,3.0,3.0
1,1,624,0.0,500.0,5.0,2.0
2,6,210,0.0,109.0,2.0,4.0
1,1,230,108.0,207.0,3.0,4.0
1,1,230,108.0,207.0,3.0,4.0
1,1,210,108.0,102.0,2.0,4.0
2,18,121,501.0,400.0,1.0,1.0
1,1,624,101.0,400.0,4.0,3.0
1,1,0,102.0,400.0,4.0,4.0
1,5,930,501.0,511.0,3.0,4.0
1,1,626,502.0,400.0,2.0,2.0
1,1,626,502.0,400.0,2.0,2.0
1,1,230,102.0,102.0,3.0,1.0
2,1,220,101.0,400.0,5.0,4.0
1,1,860,0.0,400.0,3.0,3.0
1,1,236,502.0,400.0,2.0,1.0
1,1,930,0.0,511.0,3.0,4.0
1,1,761,101.0,207.0,2.0,4.0
1,11,624,501.0,400.0,2.0,4.0
1,1,930,101.0,511.0,4.0,2.0
1,1,236,502.0,400.0,2.0,4.0
1,1,624,102.0,400.0,5.0,4.0
1,8,624,0.0,400.0,5.0,4.0
1,1,230,0.0,400.0,2.0,1.0
1,1,230,0.0,400.0,3.0,2.0
1,1,230,0.0,0.0,5.0,4.0
1,1,230,0.0,0.0,3.0,4.0
2,1,624,0.0,400.0,5.0,2.0
1,1,624,0.0,400.0,5.0,3.0
1,1,626,502.0,400.0,4.0,2.0
1,1,624,102.0,500.0,5.0,1.0
1,1,624,109.0,400.0,5.0,4.0
1,1,210,102.0,500.0,5.0,4.0
1,12,236,501.0,0.0,2.0,3.0
1,1,230,0.0,500.0,5.0,3.0
2,1,624,102.0,400.0,5.0,2.0
1,1,0,0.0,0.0,2.0,4.0
1,1,230,102.0,0.0,3.0,4.0
1,1,230,102.0,0.0,3.0,4.0
1,1,0,102.0,400.0,1.0,3.0
2,1,0,108.0,500.0,2.0,1.0
1,1,626,502.0,400.0,2.0,1.0
1,1,230,101.0,312.0,5.0,3.0
1,1,626,102.0,400.0,2.0,4.0
2,1,210,102.0,312.0,3.0,4.0
2,9,626,501.0,400.0,2.0,3.0
1,1,624,102.0,400.0,3.0,3.0
1,1,0,101.0,106.0,1.0,4.0
1,13,0,502.0,511.0,2.0,2.0
1,13,0,501.0,400.0,1.0,3.0
1,1,624,102.0,400.0,3.0,3.0
1,1,624,102.0,400.0,3.0,3.0
1,1,624,0.0,400.0,2.0,2.0
1,1,624,0.0,400.0,4.0,3.0
1,1,860,101.0,400.0,3.0,3.0
1,1,220,0.0,400.0,3.0,4.0
2,1,0,108.0,500.0,3.0,4.0
2,1,210,101.0,0.0,5.0,2.0
1,10,624,502.0,400.0,3.0,4.0
1,1,860,102.0,400.0,2.0,2.0
1,1,860,102.0,400.0,5.0,2.0
1,1,860,102.0,400.0,2.0,3.0
1,1,860,0.0,400.0,3.0,3.0
1,1,761,102.0,200.0,5.0,3.0
1,1,0,102.0,102.0,1.0,4.0
1,1,210,101.0,306.0,3.0,3.0
1,1,624,0.0,400.0,4.0,2.0
1,1,0,103.0,400.0,3.0,3.0
1,1,210,102.0,400.0,5.0,4.0
1,1,624,0.0,500.0,2.0,3.0
1,1,624,103.0,400.0,5.0,4.0
2,1,626,501.0,400.0,3.0,4.0
1,12,220,101.0,400.0,5.0,3.0
1,1,624,102.0,400.0,3.0,2.0
2,1,624,102.0,400.0,3.0,4.0
1,1,624,101.0,400.0,3.0,2.0
1,1,0,102.0,400.0,4.0,3.0
2,1,930,502.0,511.0,2.0,4.0
1,1,210,102.0,400.0,4.0,4.0
1,1,210,102.0,400.0,2.0,4.0
1,1,0,203.0,0.0,5.0,4.0
1,1,230,502.0,512.0,5.0,1.0
1,2,0,502.0,400.0,1.0,3.0
1,1,624,210.0,400.0,2.0,4.0
1,5,930,502.0,511.0,4.0,4.0
2,1,860,102.0,400.0,3.0,1.0
1,5,236,501.0,306.0,5.0,3.0
1,1,624,0.0,400.0,5.0,2.0
2,1,624,0.0,400.0,5.0,3.0
1,1,0,502.0,400.0,5.0,4.0
1,1,624,101.0,400.0,5.0,4.0
1,1,210,102.0,400.0,3.0,1.0
1,1,0,101.0,400.0,3.0,3.0
1,1,624,102.0,500.0,3.0,3.0
2,1,626,101.0,400.0,2.0,4.0
1,1,0,108.0,500.0,3.0,2.0
1,1,626,122.0,400.0,4.0,4.0
1,1,625,109.0,500.0,3.0,4.0
2,1,626,501.0,400.0,5.0,2.0
1,14,121,502.0,400.0,2.0,4.0
1,1,860,102.0,400.0,3.0,3.0
1,1,860,102.0,400.0,3.0,3.0
1,1,761,101.0,308.0,1.0,2.0
1,1,230,101.0,207.0,5.0,2.0
1,1,624,101.0,500.0,4.0,2.0
1,1,0,101.0,400.0,2.0,4.0
1,1,220,101.0,400.0,5.0,4.0
1,1,0,122.0,212.0,4.0,3.0
